W1,W2,W3,Ret1,Ret2,Ret3,NSW
0.0,0.0,1.0,636.5815105438232,248.4279376220703,2063.0158190917964,11.750791082771848
0.0,0.3103448275862069,0.6896551724137931,869.1464611816406,432.33351951599127,2129.550595703125,15.227043976938955
0.0,0.6206896551724138,0.3793103448275862,1139.8788494873047,1276.9741998291015,1853.3814416503906,15.423066680185338
0.0,0.9655172413793104,0.034482758620689655,604.0032397460938,863.2014733886717,735.3601879882812,13.37526635649048
0.034482758620689655,0.2413793103448276,0.7241379310344828,814.8632104492187,492.046290588379,2385.0534374999997,15.46608177464027
0.03448275862068966,0.5862068965517242,0.37931034482758624,921.2195501708984,804.289765625,1612.2003857421873,14.796913419398795
0.034482758620689655,0.896551724137931,0.06896551724137931,1046.3278424072266,1547.0339949035642,1091.9547442626954,14.855886214084972
0.06896551724137931,0.2413793103448276,0.6896551724137931,775.844165649414,356.5275367736816,2379.4490673828127,15.406480690079045
0.06896551724137931,0.5517241379310345,0.3793103448275862,1018.6843902587891,1051.8274443054202,1906.7088720703123,15.298652127756501
0.06896551724137931,0.896551724137931,0.034482758620689655,856.1132971191406,1249.216154785156,997.9646179199219,14.527565729599388
0.10344827586206896,0.2413793103448276,0.6551724137931034,693.8802264404296,348.310752620697,2413.7858691406245,15.32251585815867
0.10344827586206896,0.5862068965517241,0.3103448275862069,1359.5268170166014,1471.295220565796,1821.680246582031,15.449660586073104
0.10344827586206896,0.896551724137931,0.0,1136.3918902587889,1520.597515258789,1060.0644384765624,14.829434524181952
0.13793103448275862,0.3103448275862069,0.5517241379310345,753.2344873046875,389.30968017578124,2382.419418945313,15.386726924965824
0.13793103448275862,0.6206896551724138,0.2413793103448276,1769.3925146484373,1968.318407287598,1858.8660424804686,16.304185193112637
0.1724137931034483,0.06896551724137931,0.7586206896551724,524.3458239746094,189.58866764068603,2479.50896484375,15.07598737844045
0.1724137931034483,0.3793103448275862,0.4482758620689655,1017.6979528808594,751.4780426025391,2241.228530273437,15.668316792661368
0.1724137931034483,0.6896551724137931,0.13793103448275862,1887.688673095703,2908.7381772613526,1522.9147155761718,16.21556931631601
0.20689655172413793,0.1724137931034483,0.6206896551724138,731.824712524414,355.5638784790039,2376.7669384765627,15.367316962650056
0.20689655172413793,0.4827586206896552,0.3103448275862069,1284.2098413085937,1325.6132870483398,2122.461945800781,15.97400574640803
0.2413793103448276,0.0,0.7586206896551724,465.68945132732387,176.7763070678711,2181.4667333984376,14.348852271035195
0.2413793103448276,0.3103448275862069,0.4482758620689655,1106.936565551758,760.0819063182734,2268.4801318359378,15.784827635326428
0.2413793103448276,0.6551724137931034,0.10344827586206896,2045.5745947265627,2757.252970275879,1555.8738549804689,16.46980089993163
0.27586206896551724,0.1724137931034483,0.5517241379310345,816.6238989257813,355.51827102661133,2031.3076318359374,15.134920828132397
0.27586206896551724,0.5172413793103449,0.20689655172413793,1776.081932373047,1755.387979736328,1709.022763671875,16.053013881483956
0.3103448275862069,0.06896551724137931,0.6206896551724138,805.6405541992187,305.72195480346676,2102.9231616210936,15.189969306873332
0.3103448275862069,0.41379310344827586,0.27586206896551724,1676.0999450683594,1450.1605175781249,1944.9296997070312,16.225661301660868
0.3448275862068966,0.0,0.6551724137931034,729.310167236328,152.11117858886718,2310.0812377929688,15.255469047956092
0.3448275862068966,0.3448275862068966,0.3103448275862069,1641.8134130859373,1142.392282409668,2011.414228515625,16.16763821133524
0.3448275862068966,0.6551724137931034,0.0,1576.0444146728519,1757.9336768913272,1196.3324157714842,15.25175183383374
0.3793103448275862,0.3103448275862069,0.3103448275862069,1610.4366992187502,1189.3642227172852,1954.7008056640625,16.09163488022201
0.3793103448275862,0.6206896551724138,0.0,2106.189807128906,2429.101511230469,1435.1723706054686,16.430890855556118
0.41379310344827586,0.3103448275862069,0.27586206896551724,1669.4623706054688,1231.5603752899171,1940.2243041992188,16.10056826389971
0.4482758620689655,0.0,0.5517241379310345,774.8158312988281,158.07500312805178,2009.4971801757813,14.987812265600045
0.4482758620689655,0.3103448275862069,0.2413793103448276,1729.1831927490232,1122.7767575836183,1788.5047888183594,15.913656902177616
0.4827586206896552,0.06896551724137931,0.4482758620689655,1013.0346484375001,206.4770648193359,1816.256926269531,15.037491841764512
0.4827586206896552,0.3793103448275862,0.13793103448275862,2214.7135266113282,1760.5967466735842,1538.7510656738282,15.894846695294325
0.5172413793103449,0.1724137931034483,0.3103448275862069,1124.6178112792968,371.9425691604614,1496.903662109375,14.801667720379498
0.5172413793103449,0.4827586206896552,0.0,1637.0770947265626,1197.82595703125,986.5968005371094,15.038077242325272
0.5517241379310345,0.3103448275862069,0.13793103448275862,2521.116884765625,1825.1163610839844,1703.0995251464842,16.636998389944285
0.5862068965517242,0.13793103448275865,0.2758620689655173,1439.212745361328,501.1371588134765,1493.4755151367187,15.152709452754994
0.6206896551724138,0.034482758620689655,0.3448275862068966,1147.0449676513672,456.44778106689455,1422.6016967773437,14.654109147989937
0.6206896551724138,0.3448275862068966,0.034482758620689655,2751.8429443359373,2079.523692626953,1489.948994140625,16.654480576723454
0.6551724137931034,0.27586206896551724,0.06896551724137931,2578.6314025878905,2254.4478601074215,1551.005029296875,16.576187445746065
0.6896551724137931,0.20689655172413793,0.10344827586206896,2064.221563720703,1474.962205505371,1398.1582556152343,15.673594683295239
0.7241379310344828,0.20689655172413793,0.06896551724137931,1704.387869873047,868.4439793395995,1152.33578125,14.766025400858672
0.7586206896551725,0.20689655172413796,0.03448275862068966,1702.8506597900391,839.8683843994143,1068.3534692382814,14.813761066042673
0.8275862068965517,0.034482758620689655,0.13793103448275862,1117.7672836303711,376.17000534057615,941.7117004394531,13.481455651073128
0.8620689655172413,0.13793103448275862,0.0,1973.0705029296873,1070.0045721435547,1069.4327172851563,15.437672032585331
1.0,0.0,0.0,1358.6415397644043,437.36199016571044,904.0065368652344,13.352624821953412
