Pref_Weight_0,Pref_Weight_1,Obj1_Mean,Obj1_Std,Obj1_SE,Obj2_Mean,Obj2_Std,Obj2_SE,Count
0.0,1.0,21.48374563217163,14.248110700441138,6.371948815425705,149.6061019897461,0.6386462716845812,0.2856112954127045,5
0.034482758620689655,0.9655172413793104,23.260754299163818,13.023402175468851,5.824242512533399,149.71142181396485,0.5186323910778847,0.23193945635668112,5
0.06896551724137931,0.9310344827586207,22.406990146636964,13.002513142674124,5.814900653070752,149.7325897216797,0.398482401647012,0.17820674758401858,5
0.10344827586206896,0.896551724137931,26.559889183044437,14.986080908000394,6.70197912532013,149.5973257446289,0.29922761021380734,0.1338186554365767,5
0.13793103448275862,0.8620689655172413,33.44035509109497,12.377916133116589,5.535572378688006,149.53826293945312,0.29697056590206256,0.1328092745347186,5
0.1724137931034483,0.8275862068965517,39.13254768371583,3.7580853708562696,1.6806668708964252,149.61384033203126,0.16765865072513267,0.07497922800745821,5
0.20689655172413793,0.7931034482758621,43.837052230834956,4.254382208725448,1.9026175641951601,149.41083190917965,0.14431308003468662,0.0645387713999854,5
0.2413793103448276,0.7586206896551724,48.50532028198243,6.228989713717946,2.7856888862040563,148.97572723388674,0.5014616175017571,0.22426045296818542,5
0.27586206896551724,0.7241379310344828,57.11897026062012,5.024683449302415,2.2471067516116636,148.79187255859375,0.2814895219177447,0.12588594119239882,5
0.3103448275862069,0.6896551724137931,62.03659461975097,1.171246126608376,0.5237971914959307,148.4447821044922,0.31519304230048817,0.14095861372377164,5
0.3448275862068966,0.6551724137931034,74.42064987182617,4.00370348851741,1.7905106324155955,148.20225372314454,0.2674184984993681,0.1195931882171025,5
0.3793103448275862,0.6206896551724138,86.14589492797852,2.773243443780488,1.2402321716897573,147.38450927734374,0.41717744442343196,0.18656742488208689,5
0.41379310344827586,0.5862068965517241,96.53978088378906,7.652148403612093,3.4221448008786273,145.57268859863282,0.5409154468122223,0.24190474183036018,5
0.4482758620689655,0.5517241379310345,107.70437408447265,0.8489732075930474,0.3796723606508189,143.42905364990236,0.1708805085848331,0.07642008664508464,5
0.4827586206896552,0.5172413793103449,126.51785766601563,1.1361912804520542,0.5081201877066642,140.71914642333985,0.14932084892904116,0.06677831373266253,5
0.5172413793103449,0.4827586206896552,141.16398284912108,1.012916481451477,0.4529900216110815,137.41401641845704,0.326918709249064,0.14620249139947927,5
0.5517241379310345,0.4482758620689655,154.7283493041992,0.9002139636225565,0.4025879233909118,132.66923797607419,0.4046653802779624,0.18097185968846533,5
0.5862068965517241,0.41379310344827586,171.99268096923828,0.6844237905621865,0.3060836242230256,126.95080123901366,0.4063482889014278,0.18172447930486318,5
0.6206896551724138,0.3793103448275862,181.72023284912112,0.711847607576949,0.3183479280325304,119.46989440917969,0.6600392127597396,0.29517850950924485,5
0.6551724137931034,0.3448275862068966,197.44827941894533,1.5046903618569183,0.6729179868401651,109.54994949340819,1.02009628086947,0.4562009255237706,5
0.6896551724137931,0.3103448275862069,209.0476501464844,2.0808178012622562,0.9305700104828105,98.43331634521482,1.2022386813368684,0.537657483329789,5
0.7241379310344828,0.27586206896551724,219.22398437500001,0.6837996224796282,0.3058044877706284,86.92130523681641,0.687739723837392,0.3075665546654682,5
0.7586206896551724,0.2413793103448276,232.74602539062502,1.0648769581292916,0.47622745321005866,75.67127899169923,0.6292147481829334,0.28139338987649026,5
0.7931034482758621,0.20689655172413793,238.68456512451172,1.5393067801798663,0.6883989197417014,63.10165786743164,0.5789853924817204,0.2589301391137045,5
0.8275862068965517,0.1724137931034483,243.4773831176758,0.7212831821857896,0.32256764527895815,52.79488525390625,0.45027052569544956,0.2013671007439182,5
0.8620689655172413,0.13793103448275862,251.98079681396484,0.14905684005227296,0.06666024537363913,41.21612312316895,0.16069511844974194,0.07186504170120071,5
0.896551724137931,0.10344827586206896,255.87854766845703,1.0574392199379723,0.47290119557113136,31.00423236846924,0.3176447986490538,0.14205507249570354,5
0.9310344827586207,0.06896551724137931,252.3692425537109,1.123686426063847,0.5025278468145107,23.20500297546387,0.5921038699649068,0.2647969005964455,5
0.9655172413793104,0.034482758620689655,250.100339050293,2.176964859527278,0.9735682821062549,19.608058624267578,0.5105399752487234,0.22832041797744113,5
1.0,0.0,250.67498779296875,3.0658826341202854,1.3711043961858147,16.097386798858643,0.9291601795743848,0.4155330647028472,5
